artist_names,track_name,peak_rank,weeks_on_chart
"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",86,3
Arctic Monkeys,I Wanna Be Yours,103,5
Tears For Fears,Everybody Wants To Rule The World,105,10
Taylor Swift,Don’t Blame Me,72,13
Paloma Faith,Only Love Can Hurt Like This,93,12
The Police,Every Breath You Take,109,61
Benson Boone,In The Stars,54,15
Mr.Kitty,After Dark,112,17
Bad Bunny,Yo No Soy Celoso,11,14
One Direction,Night Changes,111,11
The Weeknd,The Hills,52,50
Billie Eilish,TV,27,3
Bad Bunny,Me Fui de Vacaciones,14,14
"Mora, Feid",LA INOCENTE,121,6
Lana Del Rey,Summertime Sadness,122,3
Seafret,Atlantis,126,3
"Marshmello, Khalid",Numb,114,9
"Polimá Westcoast, Pailita",ULTRA SOLO,42,16
Rema,Calm Down,130,5
Drake,Massive,18,8
Bad Bunny,Aguacero,22,14
NAYEON,POP!,68,7
Cigarettes After Sex,Apocalypse,135,5
"Bad Bunny, The Marías",Otro Atardecer,24,14
"Grupo Marca Registrada, Junior H",El Rescate,129,3
Guns N' Roses,Sweet Child O' Mine,101,10
"Bad Bunny, Tainy",Callaita,7,67
"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),26,10
"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,127,14
LF SYSTEM,Afraid To Feel,150,5
Rex Orange County,THE SHADE,161,3
"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),18,13
"The Weeknd, Lana Del Rey",Stargirl Interlude,168,4
"Beyoncé, BEAM",ENERGY (feat. Beam),34,2
Harry Styles,Matilda,5,12
Harry Styles,Music For a Sushi Restaurant,6,12
Panic! At The Disco,House of Memories,64,16
Ezhel,Nerdesin,164,3
"NAV, Lil Baby, Travis Scott",Never Sleep (with Lil Baby feat. Travis Scott),101,2
"Ana Castela, Melody, Dj Chris No Beat",Pipoco,100,4
"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,18,20
Shawn Mendes,There's Nothing Holdin' Me Back,5,72
Troye Sivan,Angel Baby,59,19
Beyoncé,SUMMER RENAISSANCE,46,2
Sofia Carson,Come Back Home,193,1
BTS,Yet To Come,7,8
Imagine Dragons,Demons,194,2
"Shae Gill, Ali Sethi",Pasoori,109,16
Kanye West,Heartless,198,1
Beyoncé,I'M THAT GIRL,33,1
Beyoncé,CHURCH GIRL,39,1
Beyoncé,COZY,50,1
Beyoncé,VIRGO'S GROOVE,77,1
Beyoncé,PLASTIC OFF THE SOFA,85,1
Beyoncé,HEATED,93,1
"Beyoncé, Grace Jones, Tems",MOVE (feat. Grace Jones & Tems),96,1
Beyoncé,THIQUE,102,1
Beyoncé,PURE/HONEY,114,1
Beyoncé,ALL UP IN YOUR MIND,148,1
Beyoncé,AMERICA HAS A PROBLEM,152,1
Luísa Sonza,CACHORRINHAS,109,2
Billie Eilish,The 30th,64,2
"L7NNON, DJ Biel do Furduncinho, Bianca",Ai Preto,140,5
Lady Gaga,Hold My Hand,110,10
Jessica Darrow,Surface Pressure,26,3
The Weeknd,Out of Time,10,2
"The Game, Kanye West",Eazy,35,1
The Weeknd,Is There Someone Else?,11,2
"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],53,2
Shawn Mendes,It'll Be Okay,55,7
"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),5,39
SZA,I Hate U,19,7
Emmy Meli,I AM WOMAN,51,8
The Weeknd,Gasoline,13,2
The Weeknd,How Do I Make You Love Me?,14,2
The Weeknd,Less Than Zero,23,2
"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,8,11
"Gunna, Drake",P power (feat. Drake),81,1
"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),23,12
"Stephanie Beatriz, Olga Merediz, Encanto - Cast",The Family Madrigal,87,2
Oliver Tree,Life Goes On,15,20
The Weeknd,Take My Breath,22,2
"George Henrique & Rodrigo, Marília Mendonça",Vai Lá Em Casa Hoje,66,9
"Diane Guerrero, Stephanie Beatriz",What Else Can I Do?,101,2
Sebastian Yatra,Dos Oruguitas,104,2
Gusttavo Lima,Bloqueado - Ao Vivo,106,4
"Tiago PZK, Trueno",Salimo de Noche,72,12
Jason Derulo,Acapulco,90,15
Edison Lighthouse,Love Grows (Where My Rosemary Goes),112,3
Stromae,L’enfer,113,1
The Weeknd,Best Friends,26,2
"Marília Mendonça, Maiara & Maraisa",Esqueça-Me Se For Capaz,67,11
"The Weeknd, Tyler, The Creator","Here We Go… Again (feat. Tyler, the Creator)",25,2
NIKI,Every Summertime,124,2
Adele,Rolling in the Deep,36,16
Maluma,Sobrio,41,28
Tiësto,The Business,9,64
"DJ Matt D, Menor MC, MC GP, Vulgo FK",Pandora,129,3
"Fireboy DML, Ed Sheeran",Peru,89,4
Playboi Carti,Sky,113,14
IVE,ELEVEN,103,7
